month,borough,day_type,trip_type,route_id,actual_number_of_buses,scheduled_number_of_buses,service_delivered
2015-01,Bronx,2,LCL/LTD,BX3,292,313,0.932907348
2015-01,Bronx,2,LCL/LTD,BX30,145,154,0.941558442
2015-01,Bronx,2,LCL/LTD,BX31,150,161,0.931677019
2015-01,Bronx,2,LCL/LTD,BX32,92,97,0.948453608
2015-01,Bronx,2,LCL/LTD,BX33,105,114,0.921052632
2015-01,Bronx,2,LCL/LTD,BX34,107,122,0.87704918
2015-01,Bronx,2,LCL/LTD,BX35,257,285,0.901754386
2015-01,Bronx,2,LCL/LTD,BX36,327,360,0.908333333
2015-01,Bronx,2,LCL/LTD,BX38,127,128,0.9921875
2015-01,Bronx,2,LCL/LTD,BX39,191,211,0.90521327
2015-01,Bronx,2,LCL/LTD,BX4,103,112,0.919642857
2015-01,Bronx,2,LCL/LTD,BX40,97,115,0.843478261
2015-01,Bronx,2,LCL/LTD,BX41,221,237,0.932489451
2015-01,Bronx,2,LCL/LTD,BX42,112,119,0.941176471
2015-01,Bronx,2,LCL/LTD,BX46,53,57,0.929824561
2015-01,Bronx,2,LCL/LTD,BX4A,106,110,0.963636364
2015-01,Bronx,2,LCL/LTD,BX5,193,220,0.877272727
2015-01,Bronx,2,LCL/LTD,BX6,296,316,0.936708861
2015-01,Bronx,2,LCL/LTD,BX7,188,238,0.789915966
2015-01,Bronx,2,LCL/LTD,BX8,85,97,0.87628866
2015-01,Bronx,2,LCL/LTD,BX9,291,335,0.868656716
2015-01,Bronx,1,SBS,SBS12,1177,1244,0.946141479
2015-01,Bronx,1,SBS,SBS41,686,718,0.955431755
2015-01,Bronx,2,SBS,SBS12,335,381,0.879265092
2015-01,Bronx,2,SBS,SBS41,212,238,0.890756303
2015-01,Brooklyn,1,EXP,BM1,557,540,1.031481481
2015-01,Brooklyn,1,EXP,BM2,414,414,1
2015-01,Brooklyn,1,EXP,BM3,383,378,1.013227513
2015-01,Brooklyn,1,EXP,BM4,370,360,1.027777778
2015-01,Brooklyn,1,EXP,BM5,228,215,1.060465116
2015-01,Brooklyn,1,EXP,X27,661,684,0.966374269
2015-01,Brooklyn,1,EXP,X28,648,684,0.947368421
2015-01,Brooklyn,1,EXP,X37,552,558,0.989247312
2015-01,Brooklyn,1,EXP,X38,517,522,0.990421456
2015-01,Brooklyn,2,EXP,BM1,36,32,1.125
2015-01,Brooklyn,2,EXP,BM2,28,28,1
2015-01,Brooklyn,2,EXP,BM3,33,32,1.03125
2015-01,Brooklyn,2,EXP,BM4,31,31,1
2015-01,Brooklyn,2,EXP,BM5,27,26,1.038461538
2015-01,Brooklyn,2,EXP,X27,92,96,0.958333333
2015-01,Brooklyn,2,EXP,X28,24,25,0.96
2015-01,Brooklyn,2,EXP,X37,21,21,1
2015-01,Brooklyn,2,EXP,X38,20,20,1
2015-01,Brooklyn,1,LCL/LTD,B1,1289,1398,0.922031474
2015-01,Brooklyn,1,LCL/LTD,B100,883,966,0.914078675
2015-01,Brooklyn,1,LCL/LTD,B103,1404,1558,0.901155327
2015-01,Brooklyn,1,LCL/LTD,B11,702,686,1.023323615
2015-01,Brooklyn,1,LCL/LTD,B12,926,999,0.926926927
2015-01,Brooklyn,1,LCL/LTD,B13,421,446,0.943946188
2015-01,Brooklyn,1,LCL/LTD,B14,476,504,0.944444444
2015-01,Brooklyn,1,LCL/LTD,B15,781,807,0.967781908
2015-01,Brooklyn,1,LCL/LTD,B16,599,607,0.986820428
2015-01,Brooklyn,1,LCL/LTD,B17,938,1026,0.914230019
2015-01,Brooklyn,1,LCL/LTD,B2,430,445,0.966292135
2015-01,Brooklyn,1,LCL/LTD,B20,548,577,0.949740035
2015-01,Brooklyn,1,LCL/LTD,B24,272,279,0.974910394
2015-01,Brooklyn,1,LCL/LTD,B25,626,651,0.961597542
2015-01,Brooklyn,1,LCL/LTD,B26,739,780,0.947435897
2015-01,Brooklyn,1,LCL/LTD,B3,831,850,0.977647059
2015-01,Brooklyn,1,LCL/LTD,B31,490,519,0.944123314
2015-01,Brooklyn,1,LCL/LTD,B32,182,186,0.978494624
2015-01,Brooklyn,1,LCL/LTD,B35,1602,1673,0.957561267
2015-01,Brooklyn,1,LCL/LTD,B36,926,998,0.927855711
2015-01,Brooklyn,1,LCL/LTD,B37,283,279,1.014336918
2015-01,Brooklyn,1,LCL/LTD,B38,1370,1461,0.937713895
2015-01,Brooklyn,1,LCL/LTD,B4,387,408,0.948529412
2015-01,Brooklyn,1,LCL/LTD,B41,1653,1738,0.951093211
2015-01,Brooklyn,1,LCL/LTD,B43,527,556,0.947841727
2015-01,Brooklyn,1,LCL/LTD,B44,714,745,0.958389262
2015-01,Brooklyn,1,LCL/LTD,B45,546,552,0.989130435
2015-01,Brooklyn,1,LCL/LTD,B46,2965,3150,0.941269841
2015-01,Brooklyn,1,LCL/LTD,B47,571,575,0.993043478
2015-01,Brooklyn,1,LCL/LTD,B48,346,345,1.002898551
2015-01,Brooklyn,1,LCL/LTD,B49,738,811,0.90998767
2015-01,Brooklyn,1,LCL/LTD,B52,834,872,0.956422018
2015-01,Brooklyn,1,LCL/LTD,B54,694,725,0.957241379
2015-01,Brooklyn,1,LCL/LTD,B57,399,428,0.932242991
2015-01,Brooklyn,1,LCL/LTD,B6,1543,1623,0.950708564
2015-01,Brooklyn,1,LCL/LTD,B60,607,632,0.960443038
2015-01,Brooklyn,1,LCL/LTD,B61,637,670,0.950746269
2015-01,Brooklyn,1,LCL/LTD,B62,558,611,0.913256956
2015-01,Brooklyn,1,LCL/LTD,B63,507,503,1.007952286
2015-01,Brooklyn,1,LCL/LTD,B64,455,465,0.978494624
2015-01,Brooklyn,1,LCL/LTD,B65,463,501,0.924151697
2015-01,Brooklyn,1,LCL/LTD,B67,336,352,0.954545455
2015-01,Brooklyn,1,LCL/LTD,B68,731,764,0.956806283
2015-01,Brooklyn,1,LCL/LTD,B69,350,371,0.943396226
2015-01,Brooklyn,1,LCL/LTD,B7,388,404,0.96039604
2015-01,Brooklyn,1,LCL/LTD,B70,384,389,0.98714653
2015-01,Brooklyn,1,LCL/LTD,B74,697,726,0.960055096
2015-01,Brooklyn,1,LCL/LTD,B8,837,891,0.939393939
2015-01,Brooklyn,1,LCL/LTD,B82,1213,1243,0.975864843
2015-01,Brooklyn,1,LCL/LTD,B83,767,815,0.941104294
2015-01,Brooklyn,1,LCL/LTD,B84,180,186,0.967741935
2015-01,Brooklyn,1,LCL/LTD,B9,726,741,0.979757085
